aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
tcehy	1293451
brk-a	1067983
baba	1577552
tsla	1318605
tsm	1046179
v	1403161
jpm	19617
nvda	1045810
jnj	200406
lvmuy	824046
wmt	104169
spy	884394
unh	731766
bac	70858
ma	1141391
hd	354950
pg	80424
dis	1744489
pypl	1633917
asml	937966
idcby	1445468
xom	34088
cmcsa	1166691
tm	1094517
adbe	796343
orcl	1341439
ko	21344
vz	732712
intc	50863
cihky	1495688
csco	858877
pfe	78003
crm	1108524
lly	59478
nflx	1065280
nke	320187
cvx	93410
t	732717
nvs	1114448
cichy	1445474
pep	77476
abbv	1551152
orcl	1341439
abt	1800
nvo	353278
wfc	72971
avgo	1730168
bhp	811809
mrk	310158
tmus	1283699
acn	1467373
tmo	97745
ups	1090727
mcd	63908
ms	895421
txn	97476
dhr	313616
cost	909832
mdt	1613103
sap	1000184
c	831001
acgby	1501437
hon	773840
ul	217410
rtntf	887028
pdd	1737806
bud	1668717
azn	901832
shop	1594805
bbl	1171264
lin	1707925
hesay	1436949
pm	1413329
rds-a	1306965
qcom	804328
ry	1000275
unp	100885
bmy	14272
ba	12927
nee	753308
amgn	318154
schw	316709
rio	863064
sny	1121404
low	60667
se	1703399
ibm	51143
rtx	101829
ptr	1108329
chdry	1450488
blk	1364742
qqq	1067839
axp	4962
td	947263
sbux	829224
sftby	1065521
gs	886982
cat	18230
bachy	1378999
intu	896878
tot	879764
chtr	1091667
hsbc	1089113
sony	313838
lfc	1268896
amat	6951
ge	40545
idexy	1438656
amt	1053507
mmm	66740
hdb	1144967
tgt	27419
jd	1549802
vale	917851
deo	835403
ppruy	1445465
cvs	64803
de	315189
el	1001250
lmt	936468
eadsy	1378580
dmlry	1067318
isrg	1035267
zm	1585521
gsk	1131399
amd	2488
sq	1512673
syk	310764
bkng	1075531
antm	1156039
snap	1564408
bp	313807
spgi	64040
mo	764180
uber	1543151
now	1373715
pld	1045609
bti	1303523
gm	1467858
lrcx	707549
fis	1136893
abnb	1559720
mdlz	1103982
sbgsy	923734
usb	36104
mu	723125
mrna	1682852
gild	882095
cci	1051470
byddy	1445162
adp	8670
ci	1739940
zts	1555280
infy	1067491
aiquy	1161167
cta-pa	30554
bns	9631
pnc	713676
enb	895728
cop	1163165
dell	1571996
snp	1123658
tfc	92230
tjx	109198
frcoy	1446595
esloy	1085922
duk	1326160
cni	16868
fdx	1048911
cme	1156375
hkxcy	1445476
bam	1001085
pbr	1119639
kddiy	1106215
wbk	719245
ntes	1110646
cb	896159
eqnr	1140625
atvi	718877
pstvy	1689565
csx	277948
fisv	798354
san	891478
shw	89800
itw	49826
cfruy	948401
cof	927628
eqix	1101239
mufg	67088
atlcy	748954
snow	1640147
bdx	10795
shecy	1442651
nio	1736541
mmc	62709
cl	21665
abb	1091587
hca	860730
nsc	702165
bmo	927971
vmw	1124610
so	92122
bx	1393818
toely	1443276
njdcy	1158967
apd	2969
vcisy	1065198
meli	1099590
stla	1605484
rbgly	1420798
cpng	1834584
safry	1364012
chgcy	1453934
mco	1059556
ilmn	1110803
bidu	1329099
ice	1571949
f	37996
d	715957
adi	6281
biib	875045
ecl	31462
itub	1132597
ibn	1103838
adsk	769397
csuay	1445470
ew	1099800
bsx	885725
noc	1133421
fcx	831259
glncy	1524684
